Stimulus,Pair,corrAns,Gender
Syllables/TA.mat,Ta          Da,left,F
Syllables/DA.mat,Ta          Da,right,F
Syllables/PA.mat,Pa          Ba,left,F
Syllables/BA.mat,Pa          Ba,right,F
Syllables/KA.mat,Ka          Ga,left,F
Syllables/GA.mat,Ka          Ga,right,F
Syllables/TaM.mat,Ta          Da,left,M
Syllables/DaM.mat,Ta          Da,right,M
Syllables/PaM.mat,Pa          Ba,left,M
Syllables/BaM.mat,Pa          Ba,right,M
Syllables/KaM.mat,Ka          Ga,left,M
Syllables/GaM.mat,Ka          Ga,right,M
Syllables/TA.mat,Ta          Da,left,F
Syllables/DA.mat,Ta          Da,right,F
Syllables/PA.mat,Pa          Ba,left,F
Syllables/BA.mat,Pa          Ba,right,F
Syllables/KA.mat,Ka          Ga,left,F
Syllables/GA.mat,Ka          Ga,right,F
Syllables/TaM.mat,Ta          Da,left,M
Syllables/DaM.mat,Ta          Da,right,M
Syllables/PaM.mat,Pa          Ba,left,M
Syllables/BaM.mat,Pa          Ba,right,M
Syllables/KaM.mat,Ka          Ga,left,M
Syllables/GaM.mat,Ka          Ga,right,M
Syllables/TA.mat,Ta          Da,left,F
Syllables/DA.mat,Ta          Da,right,F
Syllables/PA.mat,Pa          Ba,left,F
Syllables/BA.mat,Pa          Ba,right,F
Syllables/KA.mat,Ka          Ga,left,F
Syllables/GA.mat,Ka          Ga,right,F
Syllables/TaM.mat,Ta          Da,left,M
Syllables/DaM.mat,Ta          Da,right,M
Syllables/PaM.mat,Pa          Ba,left,M
Syllables/BaM.mat,Pa          Ba,right,M
Syllables/KaM.mat,Ka          Ga,left,M
Syllables/GaM.mat,Ka          Ga,right,M