Phase,Syllable,Pair_screen,Gender,Pair,corrAns
1,Ba,Pa          Ba,﻿F,Pa/Ba,right
1,Ba,Pa          Ba,M,Pa/Ba,right
1,Da,Ta          Da,﻿F,Ta/Da,right
1,Da,Ta          Da,M,Ta/Da,right
1,Ga,Ka          Ga,﻿F,Ka/Ga,right
1,Ga,Ka          Ga,M,Ka/Ga,right
1,Ka,Ka          Ga,﻿F,Ka/Ga,left
1,Ka,Ka          Ga,M,Ka/Ga,left
1,Pa,Pa          Ba,﻿F,Pa/Ba,left
1,Pa,Pa          Ba,M,Pa/Ba,left
1,Ta,Ta          Da,﻿F,Ta/Da,left
1,Ta,Ta          Da,M,Ta/Da,left
2,Ba,Pa          Ba,﻿F,Pa/Ba,right
2,Ba,Pa          Ba,M,Pa/Ba,right
2,Da,Ta          Da,﻿F,Ta/Da,right
2,Da,Ta          Da,M,Ta/Da,right
2,Ga,Ka          Ga,﻿F,Ka/Ga,right
2,Ga,Ka          Ga,M,Ka/Ga,right
2,Ka,Ka          Ga,﻿F,Ka/Ga,left
2,Ka,Ka          Ga,M,Ka/Ga,left
2,Pa,Pa          Ba,﻿F,Pa/Ba,left
2,Pa,Pa          Ba,M,Pa/Ba,left
2,Ta,Ta          Da,﻿F,Ta/Da,left
2,Ta,Ta          Da,M,Ta/Da,left
3,Ba,Pa          Ba,﻿F,Pa/Ba,right
3,Ba,Pa          Ba,M,Pa/Ba,right
3,Da,Ta          Da,﻿F,Ta/Da,right
3,Da,Ta          Da,M,Ta/Da,right
3,Ga,Ka          Ga,﻿F,Ka/Ga,right
3,Ga,Ka          Ga,M,Ka/Ga,right
3,Ka,Ka          Ga,﻿F,Ka/Ga,left
3,Ka,Ka          Ga,M,Ka/Ga,left
3,Pa,Pa          Ba,﻿F,Pa/Ba,left
3,Pa,Pa          Ba,M,Pa/Ba,left
3,Ta,Ta          Da,﻿F,Ta/Da,left
3,Ta,Ta          Da,M,Ta/Da,left
4,Ba,Pa          Ba,﻿F,Pa/Ba,right
4,Ba,Pa          Ba,M,Pa/Ba,right
4,Da,Ta          Da,﻿F,Ta/Da,right
4,Da,Ta          Da,M,Ta/Da,right
4,Ga,Ka          Ga,﻿F,Ka/Ga,right
4,Ga,Ka          Ga,M,Ka/Ga,right
4,Ka,Ka          Ga,﻿F,Ka/Ga,left
4,Ka,Ka          Ga,M,Ka/Ga,left
4,Pa,Pa          Ba,﻿F,Pa/Ba,left
4,Pa,Pa          Ba,M,Pa/Ba,left
4,Ta,Ta          Da,﻿F,Ta/Da,left
4,Ta,Ta          Da,M,Ta/Da,left